lane,decision,strict_hits,open_public_hits,strict_share_pct,reason
Software licences / SaaS resale,PROMOTE_BROKER,819,194,25.24,Low-delivery software resale/subscription motion; validate reseller/channel constraints per DCE.
Hardware / AV resale,HOLD_BROKER,0,0,0.0,"Potential broker margin but working-capital, warranty, delivery and installation burden can dominate."
Office supplies / consumables resale,HOLD_BROKER,1983,1512,68.64,Easy fulfilment but likely commodity margins/logistics; require margin and payment-term proof.
Uniforms / PPE resale,HOLD_BROKER,0,0,0.0,"Brokerable but sizing, standards, samples and inventory may create execution pain."
Training / e-learning,PROMOTE_CORE,472,162,24.41,Only strict digital-learning/LMS/content subset; classroom/trainer-heavy work is excluded.
Promotional merchandise,PROMOTE_BROKER,142,97,74.74,Brokerable physical production lane; DCE must allow subcontracting and acceptable samples/logistics.
Signage / display production,HOLD_BROKER,0,0,0.0,"Pure production can be brokered, but installation/site burden is common and explicitly filtered."
Courier / mail fulfilment,REJECT_CORE,137,64,14.94,Operational physical network business; useful only as buyer/subcontractor intelligence.
Event support / production,HOLD,14,7,3.62,Even clean titles frequently conceal onsite/cadence burden; no live bonus until DCE/sample validation.
Recruitment / temporary staffing,REJECT_CORE,1328,546,24.33,Labour/employer/compliance motion is outside lean SPM core.
