rank,sub_niche,country,route,currency,records,buyers,repeat_buyers,median_award_value,median_bidders,top_supplier_share_pct,spm_hunt_score,recommended_motion,fulfilment_model,main_live_dce_checks
1,DE · Website maintenance / support,GERMANY,OPEN_PUBLIC,EUR,123,42,7,393000.0,3.5,4.76,81.91,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
2,FR · General graphic design,FRANCE,OPEN_PUBLIC,EUR,104,87,12,200000.0,,5.26,81.83,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
3,FR · Human interpreting,FRANCE,OPEN_PUBLIC,EUR,150,119,21,363000.0,,2.86,81.27,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
4,FR · Website maintenance / hosting / support,FRANCE,OPEN_PUBLIC,EUR,111,103,7,260000.0,,7.69,78.32,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
5,FR · Written translation,FRANCE,OPEN_PUBLIC,EUR,63,59,4,190000.0,,6.67,78.25,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
6,FR · Publication layout / DTP,FRANCE,OPEN_PUBLIC,EUR,45,41,4,98267.0,,10.0,78.01,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
7,CA · Written translation,CANADA,OPEN_PUBLIC,CAD,37,27,6,326214.28,,22.22,77.02,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
8,QC · General commercial print production,CANADA - QUEBEC,OPEN_PUBLIC,CAD,43,26,9,129800.0,2.0,13.85,76.44,WATCH,Case-by-case,DCE mandatory
9,FR · Meeting / debate transcription,FRANCE,OPEN_PUBLIC,EUR,45,42,3,408000.0,,14.29,76.21,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
10,FR · Communication collateral printing,FRANCE,OPEN_PUBLIC,EUR,408,343,54,240000.0,,1.09,76.12,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
