rank,sub_niche,country,route,currency,records,buyers,repeat_buyers,median_award_value,median_bidders,top_supplier_share_pct,spm_hunt_score,recommended_motion,fulfilment_model,main_live_dce_checks
1,FR · Human interpreting,FRANCE,OPEN_PUBLIC,EUR,246,189,36,363000.0,,1.92,81.87,HUNT_ONLY_IF_STAFFABLE,"AI assists, but qualified human/on-site professional may be mandatory",named staff; qualifications; on-site; confidentiality; clearance; turnaround; accuracy; language pairs
2,DE · Website maintenance / support,GERMANY,OPEN_PUBLIC,EUR,123,42,7,393000.0,3.5,4.76,81.77,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
3,FR · General graphic design,FRANCE,OPEN_PUBLIC,EUR,104,87,12,200000.0,,5.26,81.57,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
4,FR · Written translation,FRANCE,OPEN_PUBLIC,EUR,63,59,4,190000.0,,6.67,78.25,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
5,FR · Website maintenance / hosting / support,FRANCE,OPEN_PUBLIC,EUR,111,103,7,260000.0,,7.69,78.06,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
6,FR · Publication layout / DTP,FRANCE,OPEN_PUBLIC,EUR,45,41,4,98267.0,,10.0,78.01,HUNT_LIVE_CORE,SPM AI/creative production + human art direction/QA,portfolio references; editable/source files; brand constraints; print bundle; accessibility; meetings/on-site; IP; staffing
7,CA · Written translation,CANADA,OPEN_PUBLIC,CAD,39,29,6,326214.28,,22.22,76.93,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
8,FR · Meeting / debate transcription,FRANCE,OPEN_PUBLIC,EUR,50,47,3,364000.0,,11.11,76.92,HUNT_LIVE_AI_HUMAN,AI-first draft/transcription + professional human QA,certified-human requirement; language pairs; confidentiality; security; CAT/TM ownership; accuracy; turnaround; references
9,QC · General commercial print production,CANADA - QUEBEC,OPEN_PUBLIC,CAD,43,26,9,129800.0,2.0,13.85,76.32,WATCH,Case-by-case,DCE mandatory
10,FR · Communication collateral printing,FRANCE,OPEN_PUBLIC,EUR,408,343,54,240000.0,,1.09,76.12,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
11,FR · Website redesign / development,FRANCE,OPEN_PUBLIC,EUR,70,61,9,202595.17,,28.57,75.82,HUNT_LIVE_CORE,SPM-led AI/code implementation; specialist only for audited accessibility/security/on-site constraints,references; CMS stack; hosting/security; accessibility; SLA; GDPR; IP/source code; on-site; turnover/insurance
12,FR · Forms / stationery / cards printing,FRANCE,OPEN_PUBLIC,EUR,314,261,40,216000.0,,4.71,75.75,HUNT_LIVE_BROKER,SPM prime + print subcontractor; normalize specs/quotes; margin on production/logistics,paper/finish/quantity; proofs; delivery/routing; eco labels; locality; subcontracting; working capital; penalties
