tier,motion,model,niche,source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,rationale,blockers,top_repeat_buyers,top_winners
A_HUNT_NOW,OPEN_BID,BROKER,Commercial printing / print production,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,68,36,12,33.33,40902.4,129800.0,299400.0,98,2.0,22.45,38,10.2,470.64,90.86,Clean printing sample; bidder median 2; fragmented observed winners.,locality/delivery; sustainable paper/ink; proofs/samples; financial capacity; subcontracting; registration/tax,"[{""buyer"": ""Revenu Québec"", ""procurements"": ""10""}, {""buyer"": ""Société de l'assurance automobile du Québec ."", ""procurements"": ""10""}, {""buyer"": ""Ministère de la Justice"", ""procurements"": ""4""}, {""buyer"": ""Université Laval"", ""procurements"": ""3""}, {""buyer"": ""Directeur général des élections du Québec"", ""procurements"": ""3""}]","[{""supplier"": ""Solutions Pixim Inc."", ""fractional_awards"": ""10.0"", ""share_pct"": ""10.2""}, {""supplier"": ""Impression Numérix Inc."", ""fractional_awards"": ""9.0"", ""share_pct"": ""9.18""}, {""supplier"": ""DATA Communications Management Corp."", ""fractional_awards"": ""8.0"", ""share_pct"": ""8.16""}, {""supplier"": ""N.P. PUBLICITÉ INC."", ""fractional_awards"": ""6.0"", ""share_pct"": ""6.12""}, {""supplier"": ""IMPRIMERIES TRANSCONTINENTAL INC."", ""fractional_awards"": ""6.0"", ""share_pct"": ""6.12""}]"
A_HUNT_NOW,OPEN_BID,CORE_DIGITAL,Website maintenance / hosting / support,Germany,GERMANY,OPEN_PUBLIC,EUR,90,34,5,14.71,169000.0,419100.32,691349.6,26,3.0,15.38,23,8.33,451.39,86.29,Clean recurring website care/hosting/support titles; bidder median 3.,references; CMS/stack; SLA/on-call; accessibility/security; hosting/data location; staffing,"[{""buyer"": ""Württembergische Staatstheater Stuttgart"", ""procurements"": ""2""}, {""buyer"": ""Bundesrepublik Deutschland, vertreten durch das Bundesministerium des Innern und für Heimat, vertreten durch das Beschaffungsamt des BMI"", ""procurements"": ""2""}, {""buyer"": ""Land Baden-Württemberg vertreten durch die Hochschule für Technik Stuttgart // University of Applied Sciences"", ""procurements"": ""2""}, {""buyer"": ""1.102.3 Zentrale Verwaltungsdienste, Statistik und Wahlen - Hansestadt Lübeck - Der Bürgermeister"", ""procurements"": ""2""}, {""buyer"": ""Deutsche Energie-Agentur GmbH (dena)"", ""procurements"": ""2""}]","[{""supplier"": ""Iconate GmbH"", ""fractional_awards"": ""2.0"", ""share_pct"": ""8.33""}, {""supplier"": ""spiritec"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}, {""supplier"": ""Raufeld Medien"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}, {""supplier"": ""mindbox GmbH"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}, {""supplier"": ""VALID Digitalagentur GmbH"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}]"
A_HUNT_NOW,OPEN_BID,CORE_CREATIVE,Graphic design / DTP / visual identity,France,FRANCE,OPEN_PUBLIC,EUR,194,169,21,12.43,133800.0,276100.0,450000.0,0,,,67,2.33,208.18,85.97,Broad buyer base and recurring institutional design/layout demand.,portfolio/references; source files; print bundles; accessibility; brand/IP; response capacity,"[{""buyer"": ""Département de la Lozère"", ""procurements"": ""4""}, {""buyer"": ""Ville de Lyon"", ""procurements"": ""3""}, {""buyer"": ""Région Réunion"", ""procurements"": ""3""}, {""buyer"": ""Nantes Métropole"", ""procurements"": ""2""}, {""buyer"": ""Eppdcsi - Universcience Etablissement public à caractère industriel et commercial créé par décret interministériel du 3 décembre 2009"", ""procurements"": ""2""}]","[{""supplier"": ""LATITUDE,PELLICAM PLUS,LES FILMS DE L'ARCHE"", ""fractional_awards"": ""1.0"", ""share_pct"": ""2.33""}, {""supplier"": ""Cercle Studio,TERRES DU SUD,Cercle Studio,MR FREDERIC NICOLAU"", ""fractional_awards"": ""1.0"", ""share_pct"": ""2.33""}, {""supplier"": ""ELEPHANT COM AND EVENTS,SAS ESTIMPRIM"", ""fractional_awards"": ""1.0"", ""share_pct"": ""2.33""}, {""supplier"": ""E-media,le réveil de la marne"", ""fractional_awards"": ""1.0"", ""share_pct"": ""2.33""}, {""supplier"": ""DESK,REPROTECHNIQUE SCOP"", ""fractional_awards"": ""1.0"", ""share_pct"": ""2.33""}]"
A_HUNT_NOW,OPEN_BID,BROKER,Commercial printing / print production,France,FRANCE,OPEN_PUBLIC,EUR,779,594,124,20.88,161000.0,341666.67,730000.0,0,,,274,1.43,48.3,84.9,Large recurring buyer base; brokerable production economics.,exact volumes/specs; routing; delivery cadence; environmental labels; samples; working capital; subcontracting,"[{""buyer"": ""Département de la Manche"", ""procurements"": ""7""}, {""buyer"": ""Union des Caisses Nationales de Sécurité sociale (UCANSS)"", ""procurements"": ""7""}, {""buyer"": ""UCANSS"", ""procurements"": ""6""}, {""buyer"": ""Ville de Sanary-sur-Mer (83)."", ""procurements"": ""5""}, {""buyer"": ""Toulouse Métropole"", ""procurements"": ""4""}]","[{""supplier"": ""IMPRIMERIE CARACTERE"", ""fractional_awards"": ""3.0"", ""share_pct"": ""1.43""}, {""supplier"": ""Imprimerie Georges GRENIER"", ""fractional_awards"": ""2.0"", ""share_pct"": ""0.95""}, {""supplier"": ""NORD'IMPRIM"", ""fractional_awards"": ""2.0"", ""share_pct"": ""0.95""}, {""supplier"": ""GROUPE DES IMPRIMERIES MORAULT"", ""fractional_awards"": ""2.0"", ""share_pct"": ""0.95""}, {""supplier"": ""Maury Imprimeur"", ""fractional_awards"": ""2.0"", ""share_pct"": ""0.95""}]"
A_HUNT_NOW,OPEN_BID,CORE_LANGUAGE,Translation services,France,FRANCE,OPEN_PUBLIC,EUR,139,117,16,13.68,151000.0,220000.0,391500.0,0,,,51,3.03,269.65,84.28,Clean written/interpreting demand after equipment false-positive hardening.,translator credentials; native-language rules; interpreting/on-site; confidentiality; turnaround; references,"[{""buyer"": ""Bordeaux Métropole"", ""procurements"": ""5""}, {""buyer"": ""Département de la Seine-Maritime"", ""procurements"": ""3""}, {""buyer"": ""France terre d'asile - siège social"", ""procurements"": ""3""}, {""buyer"": ""Collectivité européenne d'Alsace"", ""procurements"": ""3""}, {""buyer"": ""Région Occitanie"", ""procurements"": ""2""}]","[{""supplier"": ""Hancock Hutton Langues Services"", ""fractional_awards"": ""1.0"", ""share_pct"": ""3.03""}, {""supplier"": ""ACOLAD FRANCE,GRUPO SLIWA-VEGA,SL (FAST.txt),FLUENT PLANET"", ""fractional_awards"": ""1.0"", ""share_pct"": ""3.03""}, {""supplier"": ""The language room"", ""fractional_awards"": ""1.0"", ""share_pct"": ""3.03""}, {""supplier"": ""FLUENT PLANET,Bender & Partner Management GmbH,GL EVENTS AUDIOVISUAL & POWER"", ""fractional_awards"": ""1.0"", ""share_pct"": ""3.03""}, {""supplier"": ""GIB Consult"", ""fractional_awards"": ""1.0"", ""share_pct"": ""3.03""}]"
A_HUNT_NOW,OPEN_BID,AI_HUMAN_LANGUAGE,Transcription / speech-to-text,France,FRANCE,OPEN_PUBLIC,EUR,58,53,5,9.43,280000.0,320000.0,550000.0,0,,,12,10.0,933.33,82.42,Clean stenotypy/retranscription/minutes cohort; high AI leverage with human QA.,human stenographer requirement; accuracy; confidentiality; on-site presence; turnaround; data security,"[{""buyer"": ""Ville de Biot"", ""procurements"": ""2""}, {""buyer"": ""Caisse Nationale des Allocations Familiales"", ""procurements"": ""2""}, {""buyer"": ""Métropole de Lyon"", ""procurements"": ""2""}, {""buyer"": ""Conseil départemental Meurthe et Moselle"", ""procurements"": ""2""}, {""buyer"": ""REGION DES PAYS DE LA LOIRE"", ""procurements"": ""2""}]","[{""supplier"": ""UBIQUS"", ""fractional_awards"": ""1.0"", ""share_pct"": ""10.0""}, {""supplier"": ""Groupement Atopia/Berenice/Blevolution/Acadiescop/Urbaneco Scop/Soleneos"", ""fractional_awards"": ""1.0"", ""share_pct"": ""10.0""}, {""supplier"": ""H2COM"", ""fractional_awards"": ""1.0"", ""share_pct"": ""10.0""}, {""supplier"": ""H2COM"", ""fractional_awards"": ""1.0"", ""share_pct"": ""10.0""}, {""supplier"": ""H2 COM"", ""fractional_awards"": ""1.0"", ""share_pct"": ""10.0""}]"
A_HUNT_NOW,OPEN_BID,CORE_DIGITAL,Website maintenance / hosting / support,France,FRANCE,OPEN_PUBLIC,EUR,121,112,8,7.14,202595.17,250000.0,539070.5,0,,,15,12.5,703.13,81.97,Recurring public web maintenance/hosting lane with precise title semantics.,references; stack; SLA; hosting/data; accessibility; security; staffing,"[{""buyer"": ""Mairie"", ""procurements"": ""3""}, {""buyer"": ""Agence de la biomédecine"", ""procurements"": ""2""}, {""buyer"": ""Agence technique de l'information sur l'hospitalisation"", ""procurements"": ""2""}, {""buyer"": ""Conseil Départemental Haute-Vienne"", ""procurements"": ""2""}, {""buyer"": ""CAMIEG"", ""procurements"": ""2""}]","[{""supplier"": ""NET.COM"", ""fractional_awards"": ""2.0"", ""share_pct"": ""12.5""}, {""supplier"": ""Cameros"", ""fractional_awards"": ""1.0"", ""share_pct"": ""6.25""}, {""supplier"": ""REZO ZERO"", ""fractional_awards"": ""1.0"", ""share_pct"": ""6.25""}, {""supplier"": ""La Bonne Agence"", ""fractional_awards"": ""1.0"", ""share_pct"": ""6.25""}, {""supplier"": ""ECEDI"", ""fractional_awards"": ""1.0"", ""share_pct"": ""6.25""}]"
A_HUNT_NOW,OPEN_BID,CORE_LANGUAGE,Translation services,Canada federal,CANADA,OPEN_PUBLIC,CAD,35,26,5,19.23,209741.25,326214.28,662333.4375,0,,,12,16.67,1049.38,81.5,Semantically clean federal translation lane; modest prior because bidder evidence is absent.,security clearance; official-language credentials; Canadian presence; references; confidentiality; standing-offer rules,"[{""buyer"": ""Department of Public Works and Government Services (PSPC)"", ""procurements"": ""4""}, {""buyer"": ""Correctional Service Canada"", ""procurements"": ""4""}, {""buyer"": ""Atlantic Canada Opportunities Agency"", ""procurements"": ""2""}, {""buyer"": ""Canada Lands Company Limited (CLC)"", ""procurements"": ""2""}, {""buyer"": ""Environment and Climate Change Canada"", ""procurements"": ""2""}]","[{""supplier"": ""Lionbridge Ltd."", ""fractional_awards"": ""3.0"", ""share_pct"": ""16.67""}, {""supplier"": ""R&R International Translation Specialists Inc."", ""fractional_awards"": ""3.0"", ""share_pct"": ""16.67""}, {""supplier"": ""Nations Translation Group LP"", ""fractional_awards"": ""2.0"", ""share_pct"": ""11.11""}, {""supplier"": ""Open Text Corporation"", ""fractional_awards"": ""2.0"", ""share_pct"": ""11.11""}, {""supplier"": ""Canadian Hearing Services"", ""fractional_awards"": ""1.0"", ""share_pct"": ""5.56""}]"
A_HUNT_NOW,OPEN_BID,CORE_DIGITAL,Website design / redesign / development,France,FRANCE,OPEN_PUBLIC,EUR,66,59,7,11.86,98988.75,168695.0,538085.0,0,,,3,33.33,3333.33,79.14,Clean refonte/creation/development sample; institutional web is lean-build compatible.,references; CMS choice; accessibility; migration; content volume; hosting; maintenance; IP/source code,"[{""buyer"": ""INERIS"", ""procurements"": ""2""}, {""buyer"": ""Communauté d'Agglomération Grand Cognac"", ""procurements"": ""2""}, {""buyer"": ""Communauté d'agglomération Riviera du Levant"", ""procurements"": ""2""}, {""buyer"": ""Communauté de Communes du Haut-Béarn"", ""procurements"": ""2""}, {""buyer"": ""Conseil Régional de la Réunion"", ""procurements"": ""2""}]","[{""supplier"": ""Advency"", ""fractional_awards"": ""1.0"", ""share_pct"": ""33.33""}, {""supplier"": ""AGENCE NET.COM"", ""fractional_awards"": ""1.0"", ""share_pct"": ""33.33""}, {""supplier"": ""Sarl Canévet et associés"", ""fractional_awards"": ""1.0"", ""share_pct"": ""33.33""}]"
B_WATCH,OPEN_BID,BROKER,Promotional merchandise / branded goods,France,FRANCE,OPEN_PUBLIC,EUR,107,86,13,15.12,235499.5,400000.0,764000.0,0,,,34,12.5,481.05,79.24,Clean brokerable branded-goods demand; existing promotional-merchandise prior remains active.,samples; eco/textile labels; delivery; stock; personalization; working capital; framework terms,"[{""buyer"": ""Conseil Départemental de la Guadeloupe"", ""procurements"": ""6""}, {""buyer"": ""Département de Mayotte"", ""procurements"": ""4""}, {""buyer"": ""Centre Hospitalier de Valenciennes"", ""procurements"": ""3""}, {""buyer"": ""Conseil Départemental de l AVEYRON"", ""procurements"": ""3""}, {""buyer"": ""Communauté d'Agglomération du Grand Nord de Mayotte (976)"", ""procurements"": ""2""}]","[{""supplier"": ""FULL ACE"", ""fractional_awards"": ""3.0"", ""share_pct"": ""12.5""}, {""supplier"": ""Stilc"", ""fractional_awards"": ""1.458"", ""share_pct"": ""6.08""}, {""supplier"": ""Cecop"", ""fractional_awards"": ""1.125"", ""share_pct"": ""4.69""}, {""supplier"": ""DACO"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}, {""supplier"": ""KOBA"", ""fractional_awards"": ""1.0"", ""share_pct"": ""4.17""}]"
